index_x,Year,State,Employed persons ('000) (D7)_15–19,Employed persons ('000) (D7)_20–24,Employed persons ('000) (D7)_25–29,Employed persons ('000) (D7)_30–34,Employed persons ('000) (D7)_35–39,Employed persons ('000) (D7)_40–44,Employed persons ('000) (D7)_45–49,Employed persons ('000) (D7)_50–54,Employed persons ('000) (D7)_55–59,Employed persons ('000) (D7)_60–64,Labour force ('000) (D7)_15–19,Labour force ('000) (D7)_20–24,Labour force ('000) (D7)_25–29,Labour force ('000) (D7)_30–34,Labour force ('000) (D7)_35–39,Labour force ('000) (D7)_40–44,Labour force ('000) (D7)_45–49,Labour force ('000) (D7)_50–54,Labour force ('000) (D7)_55–59,Labour force ('000) (D7)_60–64,index_y,national_Employed persons ('000) (D7)_15–19,national_Employed persons ('000) (D7)_20–24,national_Employed persons ('000) (D7)_25–29,national_Employed persons ('000) (D7)_30–34,national_Employed persons ('000) (D7)_35–39,national_Employed persons ('000) (D7)_40–44,national_Employed persons ('000) (D7)_45–49,national_Employed persons ('000) (D7)_50–54,national_Employed persons ('000) (D7)_55–59,national_Employed persons ('000) (D7)_60–64,national_Labour force ('000) (D7)_15–19,national_Labour force ('000) (D7)_20–24,national_Labour force ('000) (D7)_25–29,national_Labour force ('000) (D7)_30–34,national_Labour force ('000) (D7)_35–39,national_Labour force ('000) (D7)_40–44,national_Labour force ('000) (D7)_45–49,national_Labour force ('000) (D7)_50–54,national_Labour force ('000) (D7)_55–59,national_Labour force ('000) (D7)_60–64,Female_Unemployment Rate (%) (D6),Male_Unemployment Rate (%) (D6),national_Female_Unemployment Rate (%) (D6),national_Male_Unemployment Rate (%) (D6),index_x_,Employed persons ('000) (D3)_Certificate,Employed persons ('000) (D3)_Degree,Employed persons ('000) (D3)_Diploma,Employed persons ('000) (D3)_No certificate,Employed persons ('000) (D3)_Not applicable,Employed persons ('000) (D3)_PT3/PMR/SRP/LCE/SRA or equivalent,Employed persons ('000) (D3)_Religious certificate,Employed persons ('000) (D3)_SPM or equivalent,Employed persons ('000) (D3)_STPM or equivalent,Employed persons ('000) (D3)_UPSR/UPSRA or equivalent,Labour Force ('000) (D3)_Certificate,Labour Force ('000) (D3)_Degree,Labour Force ('000) (D3)_Diploma,Labour Force ('000) (D3)_No certificate,Labour Force ('000) (D3)_Not applicable,Labour Force ('000) (D3)_PT3/PMR/SRP/LCE/SRA or equivalent,Labour Force ('000) (D3)_Religious certificate,Labour Force ('000) (D3)_SPM or equivalent,Labour Force ('000) (D3)_STPM or equivalent,Labour Force ('000) (D3)_UPSR/UPSRA or equivalent,index_y_,national_Employed persons ('000) (D3)_Certificate,national_Employed persons ('000) (D3)_Degree,national_Employed persons ('000) (D3)_Diploma,national_Employed persons ('000) (D3)_No certificate,national_Employed persons ('000) (D3)_Not applicable,national_Employed persons ('000) (D3)_PT3/PMR/SRP/LCE/SRA or equivalent,national_Employed persons ('000) (D3)_Religious certificate,national_Employed persons ('000) (D3)_SPM or equivalent,national_Employed persons ('000) (D3)_STPM or equivalent,national_Employed persons ('000) (D3)_UPSR/UPSRA or equivalent,national_Labour Force ('000) (D3)_Certificate,national_Labour Force ('000) (D3)_Degree,national_Labour Force ('000) (D3)_Diploma,national_Labour Force ('000) (D3)_No certificate,national_Labour Force ('000) (D3)_Not applicable,national_Labour Force ('000) (D3)_PT3/PMR/SRP/LCE/SRA or equivalent,national_Labour Force ('000) (D3)_Religious certificate,national_Labour Force ('000) (D3)_SPM or equivalent,national_Labour Force ('000) (D3)_STPM or equivalent,national_Labour Force ('000) (D3)_UPSR/UPSRA or equivalent,Price type (D2),National GDP (RM Million) (D2),national_gdp_growth (%) (D2),national_lf ('000) (D1),national_lf_employed ('000) (D1),national_lf_unemployed ('000) (D1),national_lf_outside ('000) (D1),national_p_rate (%) (D1),national_ep_ratio (%) (D1),national_u_rate (%) (D1),national_CPI (D4),national_Inflation Rate (%) (D4),national_IPI (D5),national_Industrial Production Rate (%) (D5)
11,1982,Sarawak,72.9,91.8,78.3,65.7,55.1,47.8,36.4,33.5,23.1,20.1,81.0,96.8,79.6,65.9,55.2,47.9,36.5,33.5,23.1,20.1,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,3.3,2.5,4.6,2.7,11.0,-,5.7,10.1,246,187.1,36.9,0.1,35.7,3.2,-,-,5.8,10.2,254.8,187.6,40.3,0.1,37.7,3.3,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
12,1982,Selangor,68.6,150.6,129.0,104.9,69.4,59.0,43.2,28.4,14.5,9.4,75.6,155.3,130.6,105.5,69.7,59.2,43.3,28.6,14.6,9.6,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,3.0,1.7,4.6,2.7,12.0,-,28.1,22.7,365.8,45.2,67.4,0.7,132.5,14.5,-,-,28.8,22.7,371.9,45.4,70.6,0.7,137,14.8,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
13,1982,Terengganu,21.5,39.4,33.6,25.7,24.9,22.4,17.8,14.6,11.6,9.5,24.1,42.2,34.0,25.9,24.9,22.5,17.9,14.6,11.7,9.5,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,4.0,2.0,4.6,2.7,13.0,-,2.2,5.2,116.2,60.3,13.7,0.6,22.4,0.6,-,-,2.3,5.3,118,60.3,14.7,0.6,25.4,0.6,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
14,1982,W.P. Kuala Lumpur,54.7,113.2,93.6,68.2,43.4,35.7,23.7,16.5,9.2,5.4,57.9,116.2,95.0,68.6,43.6,36.0,23.8,16.7,9.3,5.4,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,2.4,1.6,4.6,2.7,14.0,-,16,12.1,248.4,18.5,58.8,0.2,100.2,9.5,-,-,16.3,12.2,252.7,18.7,60.5,0.2,102.4,9.6,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
15,1983,Johor,73.5,114.2,103.8,85.6,67.8,59.8,42.1,35.8,23.8,17.3,83.0,122.7,107.4,86.7,68.4,60.0,43.8,37.0,24.5,17.5,18,597.5,1025.1,896.4,744.8,580.0,513.3,427.3,315.9,203.4,153.2,684.8,1095.4,918.9,753.1,585.8,517.3,432.5,320.2,207.9,155.9,5.1,3.7,4.7,3.3,15.0,-,6.2,13.2,400.4,73.7,62.4,1.4,63.5,2.8,-,-,6.6,13.4,415,74.3,67.1,1.4,69.4,3.7,-,18.0,-,86.6,135.3,"3,165.20",806.7,496.8,10.7,698.3,57.4,-,-,90.2,137.1,"3,274.40",818.6,528.7,11,750.1,61.7,-,Current Prices,70444.0,12.532149075863842,5671.8,5457.0,214.9,2969.4,65.6,63.2,3.8,120.3,3.7068965517241357,118.6,12.417061611374402
16,1983,Kedah,31.5,51.0,54.1,55.0,43.4,39.7,39.2,26.7,16.9,16.0,37.2,56.9,55.2,55.0,43.7,40.0,39.8,27.0,16.9,16.6,18,597.5,1025.1,896.4,744.8,580.0,513.3,427.3,315.9,203.4,153.2,684.8,1095.4,918.9,753.1,585.8,517.3,432.5,320.2,207.9,155.9,6.4,2.2,4.7,3.3,16.0,-,3.2,12.7,221.1,73.7,22.9,1.5,36.8,1.7,-,-,3.2,13,226.4,74.7,23.2,1.5,43.7,2.4,-,18.0,-,86.6,135.3,"3,165.20",806.7,496.8,10.7,698.3,57.4,-,-,90.2,137.1,"3,274.40",818.6,528.7,11,750.1,61.7,-,Current Prices,70444.0,12.532149075863842,5671.8,5457.0,214.9,2969.4,65.6,63.2,3.8,120.3,3.7068965517241357,118.6,12.417061611374402
17,1983,Kelantan,17.2,41.3,40.4,35.9,37.9,27.0,29.2,21.6,19.9,12.1,22.6,47.5,41.9,37.0,39.9,27.4,29.7,21.9,20.3,13.2,18,597.5,1025.1,896.4,744.8,580.0,513.3,427.3,315.9,203.4,153.2,684.8,1095.4,918.9,753.1,585.8,517.3,432.5,320.2,207.9,155.9,8.3,5.1,4.7,3.3,17.0,-,3.5,13.3,133,79.6,24.7,1.8,25.2,1.4,-,-,3.5,13.6,141.2,82.4,26.6,1.8,30,2.2,-,18.0,-,86.6,135.3,"3,165.20",806.7,496.8,10.7,698.3,57.4,-,-,90.2,137.1,"3,274.40",818.6,528.7,11,750.1,61.7,-,Current Prices,70444.0,12.532149075863842,5671.8,5457.0,214.9,2969.4,65.6,63.2,3.8,120.3,3.7068965517241357,118.6,12.417061611374402
19,1983,Melaka,17.3,27.4,27.0,24.8,16.5,18.9,13.2,12.1,5.2,3.1,19.8,28.5,27.4,24.9,16.9,19.2,13.2,12.1,5.2,3.1,18,597.5,1025.1,896.4,744.8,580.0,513.3,427.3,315.9,203.4,153.2,684.8,1095.4,918.9,753.1,585.8,517.3,432.5,320.2,207.9,155.9,2.9,2.8,4.7,3.3,19.0,-,3.4,5,102.5,12.3,14.2, -,26.7,1.4,-,-,3.6,5,104.3,12.3,15.5,0,27.9,1.7,-,18.0,-,86.6,135.3,"3,165.20",806.7,496.8,10.7,698.3,57.4,-,-,90.2,137.1,"3,274.40",818.6,528.7,11,750.1,61.7,-,Current Prices,70444.0,12.532149075863842,5671.8,5457.0,214.9,2969.4,65.6,63.2,3.8,120.3,3.7068965517241357,118.6,12.417061611374402
20,1983,Negeri Sembilan,19.5,37.8,32.8,29.1,17.9,29.1,19.4,15.8,7.8,5.9,22.7,41.8,33.7,29.1,18.0,29.3,19.4,15.8,7.8,5.9,18,597.5,1025.1,896.4,744.8,580.0,513.3,427.3,315.9,203.4,153.2,684.8,1095.4,918.9,753.1,585.8,517.3,432.5,320.2,207.9,155.9,5.2,3.0,4.7,3.3,20.0,-,2.1,6.2,144.6,15.4,13.4,0.3,30.9,2.2,-,-,2.7,6.4,146.7,15.4,15.2,0.3,34.4,2.4,-,18.0,-,86.6,135.3,"3,165.20",806.7,496.8,10.7,698.3,57.4,-,-,90.2,137.1,"3,274.40",818.6,528.7,11,750.1,61.7,-,Current Prices,70444.0,12.532149075863842,5671.8,5457.0,214.9,2969.4,65.6,63.2,3.8,120.3,3.7068965517241357,118.6,12.417061611374402
21,1983,Pahang,31.5,64.4,57.3,55.6,34.9,32.8,27.6,14.4,7.8,7.2,35.5,67.5,57.9,56.0,35.0,32.9,27.9,14.6,8.1,7.2,18,597.5,1025.1,896.4,744.8,580.0,513.3,427.3,315.9,203.4,153.2,684.8,1095.4,918.9,753.1,585.8,517.3,432.5,320.2,207.9,155.9,3.4,2.3,4.7,3.3,21.0,-,3.2,7.8,223.4,33.4,21.5,0.7,40.2,3.2,-,-,3.2,7.8,228.5,34.2,22.4,0.7,42.4,3.4,-,18.0,-,86.6,135.3,"3,165.20",806.7,496.8,10.7,698.3,57.4,-,-,90.2,137.1,"3,274.40",818.6,528.7,11,750.1,61.7,-,Current Prices,70444.0,12.532149075863842,5671.8,5457.0,214.9,2969.4,65.6,63.2,3.8,120.3,3.7068965517241357,118.6,12.417061611374402
