Year,Highest certificate obtained,State,Labour Force ('000),Employed persons ('000)
1982,Religious certificate,Terengganu,0.6,0.6
1982,No certificate,Terengganu,118,116.2
1982,Not applicable,Terengganu,60.3,60.3
1982,Total,Sabah,354.3,343.6
1982,UPSR/UPSRA or equivalent,Sabah,-,-
1982,PT3/PMR/SRP/LCE/SRA or equivalent,Sabah,43.4,41.1
1982,SPM or equivalent,Sabah,27.1,26.1
1982,STPM or equivalent,Sabah,2.9,2.8
1982,Certificate,Sabah,-,-
1982,Diploma,Sabah,2.8,2.8
1982,Degree,Sabah,4.4,4.3
1982,Religious certificate,Sabah,0.3,0.3
1982,No certificate,Sabah,182,175.6
1982,Not applicable,Sabah,91.4,90.5
1982,Total,Sarawak,539.7,524.7
1982,UPSR/UPSRA or equivalent,Sarawak,-,-
1982,PT3/PMR/SRP/LCE/SRA or equivalent,Sarawak,40.3,36.9
1982,SPM or equivalent,Sarawak,37.7,35.7
1982,STPM or equivalent,Sarawak,3.3,3.2
1982,Certificate,Sarawak,-,-
1982,Diploma,Sarawak,10.2,10.1
1982,Degree,Sarawak,5.8,5.7
1982,Religious certificate,Sarawak,0.1,0.1
1982,No certificate,Sarawak,254.8,246
1982,Not applicable,Sarawak,187.6,187.1
1982,Total,W.P. Kuala Lumpur,472.6,463.6
1982,UPSR/UPSRA or equivalent,W.P. Kuala Lumpur,-,-
1982,PT3/PMR/SRP/LCE/SRA or equivalent,W.P. Kuala Lumpur,60.5,58.8
1982,SPM or equivalent,W.P. Kuala Lumpur,102.4,100.2
1982,STPM or equivalent,W.P. Kuala Lumpur,9.6,9.5
1982,Certificate,W.P. Kuala Lumpur,-,-
1982,Diploma,W.P. Kuala Lumpur,12.2,12.1
1982,Degree,W.P. Kuala Lumpur,16.3,16
1982,Religious certificate,W.P. Kuala Lumpur,0.2,0.2
1982,No certificate,W.P. Kuala Lumpur,252.7,248.4
1982,Not applicable,W.P. Kuala Lumpur,18.7,18.5
1983,Total,Malaysia,"5,671.80","5,457.00"
1983,UPSR/UPSRA or equivalent,Malaysia,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Malaysia,528.7,496.8
1983,SPM or equivalent,Malaysia,750.1,698.3
1983,STPM or equivalent,Malaysia,61.7,57.4
1983,Certificate,Malaysia,-,-
1983,Diploma,Malaysia,137.1,135.3
1983,Degree,Malaysia,90.2,86.6
1983,Religious certificate,Malaysia,11,10.7
1983,No certificate,Malaysia,"3,274.40","3,165.20"
1983,Not applicable,Malaysia,818.6,806.7
1983,Total,Johor,650.9,623.7
1983,UPSR/UPSRA or equivalent,Johor,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Johor,67.1,62.4
1983,SPM or equivalent,Johor,69.4,63.5
1983,STPM or equivalent,Johor,3.7,2.8
1983,Certificate,Johor,-,-
1983,Diploma,Johor,13.4,13.2
1983,Degree,Johor,6.6,6.2
1983,Religious certificate,Johor,1.4,1.4
1983,No certificate,Johor,415,400.4
1983,Not applicable,Johor,74.3,73.7
1983,Total,Kedah,388.2,373.6
1983,UPSR/UPSRA or equivalent,Kedah,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Kedah,23.2,22.9
1983,SPM or equivalent,Kedah,43.7,36.8
1983,STPM or equivalent,Kedah,2.4,1.7
1983,Certificate,Kedah,-,-
1983,Diploma,Kedah,13,12.7
1983,Degree,Kedah,3.2,3.2
1983,Religious certificate,Kedah,1.5,1.5
1983,No certificate,Kedah,226.4,221.1
1983,Not applicable,Kedah,74.7,73.7
1983,Total,Kelantan,301.3,282.5
1983,UPSR/UPSRA or equivalent,Kelantan,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Kelantan,26.6,24.7
1983,SPM or equivalent,Kelantan,30,25.2
1983,STPM or equivalent,Kelantan,2.2,1.4
1983,Certificate,Kelantan,-,-
1983,Diploma,Kelantan,13.6,13.3
1983,Degree,Kelantan,3.5,3.5
1983,Religious certificate,Kelantan,1.8,1.8
1983,No certificate,Kelantan,141.2,133
1983,Not applicable,Kelantan,82.4,79.6
1983,Total,Melaka,170.3,165.5
1983,UPSR/UPSRA or equivalent,Melaka,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Melaka,15.5,14.2
1983,SPM or equivalent,Melaka,27.9,26.7
1983,STPM or equivalent,Melaka,1.7,1.4
1983,Certificate,Melaka,-,-
1983,Diploma,Melaka,5,5
1983,Degree,Melaka,3.6,3.4
1983,Religious certificate,Melaka,0, -
1983,No certificate,Melaka,104.3,102.5
1983,Not applicable,Melaka,12.3,12.3
1983,Total,Negeri Sembilan,223.5,215
1983,UPSR/UPSRA or equivalent,Negeri Sembilan,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Negeri Sembilan,15.2,13.4
1983,SPM or equivalent,Negeri Sembilan,34.4,30.9
1983,STPM or equivalent,Negeri Sembilan,2.4,2.2
1983,Certificate,Negeri Sembilan,-,-
1983,Diploma,Negeri Sembilan,6.4,6.2
1983,Degree,Negeri Sembilan,2.7,2.1
1983,Religious certificate,Negeri Sembilan,0.3,0.3
1983,No certificate,Negeri Sembilan,146.7,144.6
1983,Not applicable,Negeri Sembilan,15.4,15.4
1983,Total,Pahang,342.6,333.5
1983,UPSR/UPSRA or equivalent,Pahang,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Pahang,22.4,21.5
1983,SPM or equivalent,Pahang,42.4,40.2
1983,STPM or equivalent,Pahang,3.4,3.2
1983,Certificate,Pahang,-,-
1983,Diploma,Pahang,7.8,7.8
1983,Degree,Pahang,3.2,3.2
1983,Religious certificate,Pahang,0.7,0.7
1983,No certificate,Pahang,228.5,223.4
1983,Not applicable,Pahang,34.2,33.4
1983,Total,Pulau Pinang,421,404.8
1983,UPSR/UPSRA or equivalent,Pulau Pinang,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Pulau Pinang,46.2,44
1983,SPM or equivalent,Pulau Pinang,66.4,61.9
1983,STPM or equivalent,Pulau Pinang,7.7,6.9
1983,Certificate,Pulau Pinang,-,-
1983,Diploma,Pulau Pinang,7.1,7.1
1983,Degree,Pulau Pinang,8.2,8.1
1983,Religious certificate,Pulau Pinang,-, -
1983,No certificate,Pulau Pinang,258.4,250.8
1983,Not applicable,Pulau Pinang,27,26
1983,Total,Perak,704.9,669.2
1983,UPSR/UPSRA or equivalent,Perak,-,-
1983,PT3/PMR/SRP/LCE/SRA or equivalent,Perak,75.6,71.2
1983,SPM or equivalent,Perak,67.5,60.1
1983,STPM or equivalent,Perak,4.2,4.2
1983,Certificate,Perak,-,-
1983,Diploma,Perak,13.9,13.7
1983,Degree,Perak,5.3,5.2
