Year,Highest certificate obtained,State,Labour Force ('000),Employed persons ('000)
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Malaysia,625.3,570.6
1989,SPM or equivalent,Malaysia,"1,289.90","1,187.50"
1989,STPM or equivalent,Malaysia,155,141.7
1989,Certificate,Malaysia,-,-
1989,Diploma,Malaysia,196.7,188.4
1989,Degree,Malaysia,155.9,148.8
1989,Religious certificate,Malaysia,4.1,4.1
1989,No certificate,Malaysia,"3,626.80","3,443.20"
1989,Not applicable,Malaysia,725.5,706.4
1989,Total,Johor,861.8,822.3
1989,UPSR/UPSRA or equivalent,Johor,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Johor,77.1,72.7
1989,SPM or equivalent,Johor,158.8,147.5
1989,STPM or equivalent,Johor,17.5,15.4
1989,Certificate,Johor,-,-
1989,Diploma,Johor,26.7,25.6
1989,Degree,Johor,12.7,12.1
1989,Religious certificate,Johor,0.1,0.1
1989,No certificate,Johor,508.3,489.1
1989,Not applicable,Johor,60.5,59.8
1989,Total,Kedah,470,443.3
1989,UPSR/UPSRA or equivalent,Kedah,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Kedah,34.7,31.8
1989,SPM or equivalent,Kedah,82.9,74.6
1989,STPM or equivalent,Kedah,8.2,6.6
1989,Certificate,Kedah,-,-
1989,Diploma,Kedah,12.3,11.6
1989,Degree,Kedah,5.7,5
1989,Religious certificate,Kedah,0.5,0.5
1989,No certificate,Kedah,265.5,253.8
1989,Not applicable,Kedah,60.2,59.4
1989,Total,Kelantan,388.3,363.8
1989,UPSR/UPSRA or equivalent,Kelantan,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Kelantan,35.6,32.2
1989,SPM or equivalent,Kelantan,73.4,63.9
1989,STPM or equivalent,Kelantan,7.7,6.7
1989,Certificate,Kelantan,-,-
1989,Diploma,Kelantan,11.9,11.2
1989,Degree,Kelantan,5.5,4.6
1989,Religious certificate,Kelantan,0.2,0.2
1989,No certificate,Kelantan,170.8,163.8
1989,Not applicable,Kelantan,83.1,81.1
1989,Total,Melaka,197.8,185.9
1989,UPSR/UPSRA or equivalent,Melaka,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Melaka,18.1,16.7
1989,SPM or equivalent,Melaka,43.9,40.3
1989,STPM or equivalent,Melaka,4.1,3.3
1989,Certificate,Melaka,-,-
1989,Diploma,Melaka,7.3,6.9
1989,Degree,Melaka,4.2,4.1
1989,Religious certificate,Melaka,0, -
1989,No certificate,Melaka,109.7,104.2
1989,Not applicable,Melaka,10.6,10.4
1989,Total,Negeri Sembilan,241,229.3
1989,UPSR/UPSRA or equivalent,Negeri Sembilan,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Negeri Sembilan,25.4,23.6
1989,SPM or equivalent,Negeri Sembilan,38.7,36.3
1989,STPM or equivalent,Negeri Sembilan,3.8,3.6
1989,Certificate,Negeri Sembilan,-,-
1989,Diploma,Negeri Sembilan,5.8,5.5
1989,Degree,Negeri Sembilan,3.5,3.3
1989,Religious certificate,Negeri Sembilan,0, -
1989,No certificate,Negeri Sembilan,150.4,143.7
1989,Not applicable,Negeri Sembilan,13.4,13.2
1989,Total,Pahang,393.8,379.1
1989,UPSR/UPSRA or equivalent,Pahang,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Pahang,38.6,36.5
1989,SPM or equivalent,Pahang,75.1,69
1989,STPM or equivalent,Pahang,5.7,5.2
1989,Certificate,Pahang,-,-
1989,Diploma,Pahang,12.6,12.4
1989,Degree,Pahang,5.9,5.7
1989,Religious certificate,Pahang,0.4,0.4
1989,No certificate,Pahang,223.2,218.1
1989,Not applicable,Pahang,32.3,31.9
1989,Total,Pulau Pinang,453.9,436.3
1989,UPSR/UPSRA or equivalent,Pulau Pinang,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Pulau Pinang,39.5,37.5
1989,SPM or equivalent,Pulau Pinang,102.6,98.6
1989,STPM or equivalent,Pulau Pinang,16.6,15.5
1989,Certificate,Pulau Pinang,-,-
1989,Diploma,Pulau Pinang,8.1,7.9
1989,Degree,Pulau Pinang,10.6,10.2
1989,Religious certificate,Pulau Pinang,0.2,0.2
1989,No certificate,Pulau Pinang,257.3,247.5
1989,Not applicable,Pulau Pinang,19,18.8
1989,Total,Perak,726.5,686.7
1989,UPSR/UPSRA or equivalent,Perak,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Perak,69.3,64.5
1989,SPM or equivalent,Perak,101.7,92.4
1989,STPM or equivalent,Perak,12,10.2
1989,Certificate,Perak,-,-
1989,Diploma,Perak,21.5,20.8
1989,Degree,Perak,9,8.4
1989,Religious certificate,Perak,0.6,0.6
1989,No certificate,Perak,452.7,431.4
1989,Not applicable,Perak,59.6,58.5
1989,Total,Perlis,70.9,66.3
1989,UPSR/UPSRA or equivalent,Perlis,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Perlis,6.1,5.3
1989,SPM or equivalent,Perlis,17.3,15.2
1989,STPM or equivalent,Perlis,1.1,1
1989,Certificate,Perlis,-,-
1989,Diploma,Perlis,2.3,2.3
1989,Degree,Perlis,1.1,1.1
1989,Religious certificate,Perlis,0.3,0.3
1989,No certificate,Perlis,36.1,34.5
1989,Not applicable,Perlis,6.7,6.7
1989,Total,Selangor,936.8,900.3
1989,UPSR/UPSRA or equivalent,Selangor,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Selangor,83.9,78.7
1989,SPM or equivalent,Selangor,256.3,244.2
1989,STPM or equivalent,Selangor,37.6,36.8
1989,Certificate,Selangor,-,-
1989,Diploma,Selangor,39.5,38.5
1989,Degree,Selangor,48.2,47
1989,Religious certificate,Selangor,0.9,0.9
1989,No certificate,Selangor,426.4,411.8
1989,Not applicable,Selangor,43.8,42.3
1989,Total,Terengganu,262.1,229.9
1989,UPSR/UPSRA or equivalent,Terengganu,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Terengganu,19.5,16.2
1989,SPM or equivalent,Terengganu,50.9,41.2
1989,STPM or equivalent,Terengganu,5.8,4.2
1989,Certificate,Terengganu,-,-
1989,Diploma,Terengganu,7.9,7.4
1989,Degree,Terengganu,4.5,4
1989,Religious certificate,Terengganu,0.4,0.4
1989,No certificate,Terengganu,130.3,116.3
1989,Not applicable,Terengganu,42.8,40.3
1989,Total,Sabah,477.5,442.3
1989,UPSR/UPSRA or equivalent,Sabah,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Sabah,51.6,44.3
1989,SPM or equivalent,Sabah,47.1,41.3
1989,STPM or equivalent,Sabah,3.8,3.2
1989,Certificate,Sabah,-,-
1989,Diploma,Sabah,6.3,6
1989,Degree,Sabah,5.3,5
1989,Religious certificate,Sabah,0.1,0.1
1989,No certificate,Sabah,266.9,248
1989,Not applicable,Sabah,96.3,94.6
1989,Total,Sarawak,760,687.2
1989,UPSR/UPSRA or equivalent,Sarawak,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,Sarawak,71.5,59.2
1989,SPM or equivalent,Sarawak,80.8,68.8
1989,STPM or equivalent,Sarawak,5.8,5.6
1989,Certificate,Sarawak,-,-
1989,Diploma,Sarawak,16.7,15.5
1989,Degree,Sarawak,12.2,11.7
1989,Religious certificate,Sarawak,0.3,0.3
1989,No certificate,Sarawak,391.9,352.2
1989,Not applicable,Sarawak,180.9,173.9
1989,Total,W.P. Kuala Lumpur,524.3,504.7
1989,UPSR/UPSRA or equivalent,W.P. Kuala Lumpur,-,-
1989,PT3/PMR/SRP/LCE/SRA or equivalent,W.P. Kuala Lumpur,52.5,49.6
1989,SPM or equivalent,W.P. Kuala Lumpur,157.5,151.8
1989,STPM or equivalent,W.P. Kuala Lumpur,25,24.1
1989,Certificate,W.P. Kuala Lumpur,-,-
1989,Diploma,W.P. Kuala Lumpur,17.5,16.7
1989,Degree,W.P. Kuala Lumpur,27.1,26.4
1989,Religious certificate,W.P. Kuala Lumpur,0.2,0.2
1989,No certificate,W.P. Kuala Lumpur,229.8,222.1
1989,Not applicable,W.P. Kuala Lumpur,14.8,13.9
1989,Total,W.P. Labuan,14.7,13.4
1989,UPSR/UPSRA or equivalent,W.P. Labuan,-, -
1989,PT3/PMR/SRP/LCE/SRA or equivalent,W.P. Labuan,2.1,2
1989,SPM or equivalent,W.P. Labuan,2.8,2.5
1989,STPM or equivalent,W.P. Labuan,0.2,0.2
1989,Certificate,W.P. Labuan,-, -
1989,Diploma,W.P. Labuan,0.2,0.2
1989,Degree,W.P. Labuan,0.3,0.3
1989,Religious certificate,W.P. Labuan,0, -
1989,No certificate,W.P. Labuan,7.5,6.8
1989,Not applicable,W.P. Labuan,1.6,1.5
1990,Total,Malaysia,"7,000.20","6,685.00"
1990,UPSR/UPSRA or equivalent,Malaysia,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Malaysia,615.4,570.1
1990,SPM or equivalent,Malaysia,"1,443.50","1,347.80"
1990,STPM or equivalent,Malaysia,157.6,146.8
1990,Certificate,Malaysia,-,-
1990,Diploma,Malaysia,222.2,216.8
1990,Degree,Malaysia,169.3,165.8
1990,Religious certificate,Malaysia,3.1,3.1
1990,No certificate,Malaysia,"3,720.40","3,580.20"
1990,Not applicable,Malaysia,668.5,654.2
1990,Total,Johor,949.1,914.1
1990,UPSR/UPSRA or equivalent,Johor,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Johor,82,78.2
1990,SPM or equivalent,Johor,186.9,174.8
1990,STPM or equivalent,Johor,20.9,19.7
1990,Certificate,Johor,-,-
1990,Diploma,Johor,30,29.5
1990,Degree,Johor,12.9,12.3
1990,Religious certificate,Johor,0.3,0.3
1990,No certificate,Johor,560.1,544
1990,Not applicable,Johor,56,55.3
1990,Total,Kedah,489.3,467.6
1990,UPSR/UPSRA or equivalent,Kedah,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Kedah,38.8,36.1
1990,SPM or equivalent,Kedah,93.9,84.8
1990,STPM or equivalent,Kedah,7.7,6.5
1990,Certificate,Kedah,-,-
1990,Diploma,Kedah,14.2,13.8
1990,Degree,Kedah,7.8,7.8
1990,Religious certificate,Kedah,0.2,0.2
1990,No certificate,Kedah,276.8,269
1990,Not applicable,Kedah,49.9,49.5
1990,Total,Kelantan,390.7,377.7
1990,UPSR/UPSRA or equivalent,Kelantan,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Kelantan,32,30.5
1990,SPM or equivalent,Kelantan,83.4,75.8
1990,STPM or equivalent,Kelantan,7.6,6.3
1990,Certificate,Kelantan,-,-
1990,Diploma,Kelantan,13,12.8
1990,Degree,Kelantan,4.8,4.8
1990,Religious certificate,Kelantan,0.4,0.4
1990,No certificate,Kelantan,174.4,172.5
1990,Not applicable,Kelantan,75.2,74.6
1990,Total,Melaka,187.8,180
1990,UPSR/UPSRA or equivalent,Melaka,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Melaka,12.1,11.7
1990,SPM or equivalent,Melaka,45.3,42.9
1990,STPM or equivalent,Melaka,4.7,4.5
1990,Certificate,Melaka,-,-
1990,Diploma,Melaka,9.3,9.1
1990,Degree,Melaka,5.5,5.2
1990,Religious certificate,Melaka,0, -
1990,No certificate,Melaka,101.7,97.8
1990,Not applicable,Melaka,9.1,8.8
1990,Total,Negeri Sembilan,224.5,216
1990,UPSR/UPSRA or equivalent,Negeri Sembilan,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Negeri Sembilan,11.1,10.2
1990,SPM or equivalent,Negeri Sembilan,41.3,37.7
1990,STPM or equivalent,Negeri Sembilan,3.2,2.9
1990,Certificate,Negeri Sembilan,-,-
1990,Diploma,Negeri Sembilan,8.2,8.2
1990,Degree,Negeri Sembilan,3.5,3.2
1990,Religious certificate,Negeri Sembilan,0.2,0.2
1990,No certificate,Negeri Sembilan,144.4,141
1990,Not applicable,Negeri Sembilan,12.6,12.6
1990,Total,Pahang,442.5,428.8
1990,UPSR/UPSRA or equivalent,Pahang,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Pahang,46.5,42.9
1990,SPM or equivalent,Pahang,80.1,75.7
1990,STPM or equivalent,Pahang,7.5,6.9
1990,Certificate,Pahang,-,-
1990,Diploma,Pahang,17.7,17
1990,Degree,Pahang,8.3,8.2
1990,Religious certificate,Pahang,0.1,0.1
1990,No certificate,Pahang,254.6,250.5
1990,Not applicable,Pahang,27.8,27.6
1990,Total,Pulau Pinang,470.3,457.2
1990,UPSR/UPSRA or equivalent,Pulau Pinang,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Pulau Pinang,43.8,42
1990,SPM or equivalent,Pulau Pinang,111.5,107.5
1990,STPM or equivalent,Pulau Pinang,12,11.7
1990,Certificate,Pulau Pinang,-,-
1990,Diploma,Pulau Pinang,15.2,14.6
1990,Degree,Pulau Pinang,11.2,11
1990,Religious certificate,Pulau Pinang,0.3,0.3
1990,No certificate,Pulau Pinang,260.3,254.4
1990,Not applicable,Pulau Pinang,15.9,15.7
1990,Total,Perak,706.8,678.2
1990,UPSR/UPSRA or equivalent,Perak,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Perak,60.9,57.3
1990,SPM or equivalent,Perak,111.6,105
1990,STPM or equivalent,Perak,10.5,9.9
1990,Certificate,Perak,-,-
1990,Diploma,Perak,20.6,20.1
1990,Degree,Perak,10.6,10.4
1990,Religious certificate,Perak,0.7,0.7
1990,No certificate,Perak,427.6,412.1
1990,Not applicable,Perak,64.3,62.8
1990,Total,Perlis,59.7,57.1
1990,UPSR/UPSRA or equivalent,Perlis,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Perlis,6.3,6.1
1990,SPM or equivalent,Perlis,11.1,9.9
1990,STPM or equivalent,Perlis,1.2,0.9
1990,Certificate,Perlis,-,-
1990,Diploma,Perlis,1.8,1.8
1990,Degree,Perlis,0.9,0.6
1990,Religious certificate,Perlis,-,-
1990,No certificate,Perlis,33.8,33.1
1990,Not applicable,Perlis,4.6,4.6
1990,Total,Selangor,"1,060.00","1,039.40"
1990,UPSR/UPSRA or equivalent,Selangor,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Selangor,89.1,86.9
1990,SPM or equivalent,Selangor,304.3,297.6
1990,STPM or equivalent,Selangor,39.8,38.6
1990,Certificate,Selangor,-,-
1990,Diploma,Selangor,43.1,43
1990,Degree,Selangor,55.8,55.3
1990,Religious certificate,Selangor,0.4,0.4
1990,No certificate,Selangor,486,476.9
1990,Not applicable,Selangor,41.5,40.8
1990,Total,Terengganu,244.6,227.6
1990,UPSR/UPSRA or equivalent,Terengganu,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Terengganu,17.9,15.7
1990,SPM or equivalent,Terengganu,55.1,48.7
1990,STPM or equivalent,Terengganu,4.9,4
1990,Certificate,Terengganu,-,-
1990,Diploma,Terengganu,6.4,6
1990,Degree,Terengganu,3.4,3.3
1990,Religious certificate,Terengganu,0.3,0.3
1990,No certificate,Terengganu,118.5,112.1
1990,Not applicable,Terengganu,38.1,37.7
1990,Total,Sabah,479.9,436.9
1990,UPSR/UPSRA or equivalent,Sabah,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Sabah,58.5,49.1
1990,SPM or equivalent,Sabah,60.4,50
1990,STPM or equivalent,Sabah,5.5,4.8
1990,Certificate,Sabah,-,-
1990,Diploma,Sabah,5.7,5.2
1990,Degree,Sabah,7.4,7.1
1990,Religious certificate,Sabah,-,-
1990,No certificate,Sabah,250.4,230.9
1990,Not applicable,Sabah,92,89.7
1990,Total,Sarawak,775.4,698.9
1990,UPSR/UPSRA or equivalent,Sarawak,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,Sarawak,72.4,60.6
1990,SPM or equivalent,Sarawak,94.1,79
1990,STPM or equivalent,Sarawak,8.2,6.9
1990,Certificate,Sarawak,-,-
1990,Diploma,Sarawak,19.4,18.2
1990,Degree,Sarawak,10.4,10
1990,Religious certificate,Sarawak,-, -
1990,No certificate,Sarawak,403.8,363.3
1990,Not applicable,Sarawak,167.2,160.8
1990,Total,W.P. Kuala Lumpur,503.9,490.7
1990,UPSR/UPSRA or equivalent,W.P. Kuala Lumpur,-,-
1990,PT3/PMR/SRP/LCE/SRA or equivalent,W.P. Kuala Lumpur,41.5,40.5
1990,SPM or equivalent,W.P. Kuala Lumpur,161.6,155.9
1990,STPM or equivalent,W.P. Kuala Lumpur,23.4,23
1990,Certificate,W.P. Kuala Lumpur,-,-
1990,Diploma,W.P. Kuala Lumpur,17.3,17
1990,Degree,W.P. Kuala Lumpur,26.2,25.9
1990,Religious certificate,W.P. Kuala Lumpur,0.3,0.3
1990,No certificate,W.P. Kuala Lumpur,219.8,214.8
1990,Not applicable,W.P. Kuala Lumpur,13.8,13.4
1990,Total,W.P. Labuan,15.7,14.8
1990,UPSR/UPSRA or equivalent,W.P. Labuan,-, -
1990,PT3/PMR/SRP/LCE/SRA or equivalent,W.P. Labuan,2.4,2.4
1990,SPM or equivalent,W.P. Labuan,3,2.6
1990,STPM or equivalent,W.P. Labuan,0.3,0.3
1990,Certificate,W.P. Labuan,-, -
1990,Diploma,W.P. Labuan,0.3,0.3
1990,Degree,W.P. Labuan,0.8,0.8
1990,Religious certificate,W.P. Labuan,0.1,0.1
1990,No certificate,W.P. Labuan,8.4,7.8
1990,Not applicable,W.P. Labuan,0.4,0.4
1992,Total,Malaysia,"7,319.00","7,047.80"
1992,UPSR/UPSRA or equivalent,Malaysia,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Malaysia,962.3,918.6
1992,SPM or equivalent,Malaysia,"1,683.70","1,610.60"
1992,STPM or equivalent,Malaysia,241.2,229.2
1992,Certificate,Malaysia,-,-
1992,Diploma,Malaysia,246.8,242.9
1992,Degree,Malaysia,215,210.2
1992,Religious certificate,Malaysia,-,-
1992,No certificate,Malaysia,"3,309.90","3,190.60"
1992,Not applicable,Malaysia,659.8,645.3
1992,Total,Johor,947.1,926
1992,UPSR/UPSRA or equivalent,Johor,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Johor,108.9,106.5
1992,SPM or equivalent,Johor,203.7,197.9
1992,STPM or equivalent,Johor,28.3,27.9
1992,Certificate,Johor,-,-
1992,Diploma,Johor,28.4,27.8
1992,Degree,Johor,17.6,17.4
1992,Religious certificate,Johor,-,-
1992,No certificate,Johor,505.1,494.5
1992,Not applicable,Johor,54.9,53.9
1992,Total,Kedah,514,495
1992,UPSR/UPSRA or equivalent,Kedah,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Kedah,60.7,58
1992,SPM or equivalent,Kedah,103.3,98.2
1992,STPM or equivalent,Kedah,15.7,13.8
1992,Certificate,Kedah,-,-
1992,Diploma,Kedah,13.5,13.2
1992,Degree,Kedah,7.1,6.8
1992,Religious certificate,Kedah,-,-
1992,No certificate,Kedah,263.2,256.1
1992,Not applicable,Kedah,50.6,48.9
1992,Total,Kelantan,404.1,382.5
1992,UPSR/UPSRA or equivalent,Kelantan,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Kelantan,41.4,38.5
1992,SPM or equivalent,Kelantan,81.5,74.1
1992,STPM or equivalent,Kelantan,16.4,14.3
1992,Certificate,Kelantan,-,-
1992,Diploma,Kelantan,15.8,15.4
1992,Degree,Kelantan,8.7,8.3
1992,Religious certificate,Kelantan,-,-
1992,No certificate,Kelantan,166.7,159.8
1992,Not applicable,Kelantan,73.5,72.1
1992,Total,Melaka,214.4,207.4
1992,UPSR/UPSRA or equivalent,Melaka,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Melaka,25.3,24
1992,SPM or equivalent,Melaka,51.2,49.4
1992,STPM or equivalent,Melaka,4.2,3.9
1992,Certificate,Melaka,-,-
1992,Diploma,Melaka,7.9,7.8
1992,Degree,Melaka,4.6,4.5
1992,Religious certificate,Melaka,-,-
1992,No certificate,Melaka,110.9,107.7
1992,Not applicable,Melaka,10.4,10.2
1992,Total,Negeri Sembilan,259.8,251.3
1992,UPSR/UPSRA or equivalent,Negeri Sembilan,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Negeri Sembilan,27.6,26.1
1992,SPM or equivalent,Negeri Sembilan,52.7,50.7
1992,STPM or equivalent,Negeri Sembilan,6.2,5.8
1992,Certificate,Negeri Sembilan,-,-
1992,Diploma,Negeri Sembilan,9.5,9.3
1992,Degree,Negeri Sembilan,5.6,5.5
1992,Religious certificate,Negeri Sembilan,-,-
1992,No certificate,Negeri Sembilan,146.9,142.9
1992,Not applicable,Negeri Sembilan,11.3,11.1
1992,Total,Pahang,428.9,417
1992,UPSR/UPSRA or equivalent,Pahang,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Pahang,51.2,49.4
1992,SPM or equivalent,Pahang,90.1,86
1992,STPM or equivalent,Pahang,10,9.1
1992,Certificate,Pahang,-,-
1992,Diploma,Pahang,14.7,14.5
1992,Degree,Pahang,8,7.7
1992,Religious certificate,Pahang,-,-
1992,No certificate,Pahang,221.8,217.5
1992,Not applicable,Pahang,33.1,32.8
1992,Total,Pulau Pinang,521.4,512.6
1992,UPSR/UPSRA or equivalent,Pulau Pinang,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Pulau Pinang,82,79.8
1992,SPM or equivalent,Pulau Pinang,168.3,166
1992,STPM or equivalent,Pulau Pinang,21.9,21.7
1992,Certificate,Pulau Pinang,-,-
1992,Diploma,Pulau Pinang,15.3,15.1
1992,Degree,Pulau Pinang,16.7,16.5
1992,Religious certificate,Pulau Pinang,-,-
1992,No certificate,Pulau Pinang,200.6,197
1992,Not applicable,Pulau Pinang,16.7,16.5
1992,Total,Perak,719.7,692.9
1992,UPSR/UPSRA or equivalent,Perak,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Perak,80.7,76.1
1992,SPM or equivalent,Perak,126.8,121.3
1992,STPM or equivalent,Perak,17.6,16.1
1992,Certificate,Perak,-,-
1992,Diploma,Perak,26.3,26.2
1992,Degree,Perak,11.2,10.7
1992,Religious certificate,Perak,-,-
1992,No certificate,Perak,403.1,389.5
1992,Not applicable,Perak,53.9,53
1992,Total,Perlis,68.8,66.9
1992,UPSR/UPSRA or equivalent,Perlis,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Perlis,7.1,6.9
1992,SPM or equivalent,Perlis,14.3,13.7
1992,STPM or equivalent,Perlis,2,1.9
1992,Certificate,Perlis,-,-
1992,Diploma,Perlis,2.5,2.5
1992,Degree,Perlis,1.6,1.6
1992,Religious certificate,Perlis,-,-
1992,No certificate,Perlis,34.6,33.8
1992,Not applicable,Perlis,6.6,6.5
1992,Total,Selangor,"1,092.80","1,069.60"
1992,UPSR/UPSRA or equivalent,Selangor,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Selangor,199.2,194.1
1992,SPM or equivalent,Selangor,357.7,349.3
1992,STPM or equivalent,Selangor,57.1,56.5
1992,Certificate,Selangor,-,-
1992,Diploma,Selangor,50.1,49.9
1992,Degree,Selangor,69.7,68.6
1992,Religious certificate,Selangor,-,-
1992,No certificate,Selangor,317.1,310.3
1992,Not applicable,Selangor,41.9,40.9
1992,Total,Terengganu,267.7,252.9
1992,UPSR/UPSRA or equivalent,Terengganu,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Terengganu,23.9,22.1
1992,SPM or equivalent,Terengganu,58.5,53.4
1992,STPM or equivalent,Terengganu,9.2,8
1992,Certificate,Terengganu,-,-
1992,Diploma,Terengganu,12.6,12.2
1992,Degree,Terengganu,5.5,5.4
1992,Religious certificate,Terengganu,-,-
1992,No certificate,Terengganu,124.7,118.8
1992,Not applicable,Terengganu,33.4,33.1
1992,Total,Sabah,524.3,491.5
1992,UPSR/UPSRA or equivalent,Sabah,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Sabah,54.2,48.3
1992,SPM or equivalent,Sabah,65.3,58.2
1992,STPM or equivalent,Sabah,7.3,6.7
1992,Certificate,Sabah,-,-
1992,Diploma,Sabah,6.4,6.3
1992,Degree,Sabah,7.3,7.1
1992,Religious certificate,Sabah,-,-
1992,No certificate,Sabah,276.4,260
1992,Not applicable,Sabah,107.3,105
1992,Total,Sarawak,771.1,711.3
1992,UPSR/UPSRA or equivalent,Sarawak,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,Sarawak,80.7,73.2
1992,SPM or equivalent,Sarawak,106,94
1992,STPM or equivalent,Sarawak,12.4,11.2
1992,Certificate,Sarawak,-,-
1992,Diploma,Sarawak,17.6,17
1992,Degree,Sarawak,13.8,13.2
1992,Religious certificate,Sarawak,-,-
1992,No certificate,Sarawak,390.3,356.8
1992,Not applicable,Sarawak,150.3,145.9
1992,Total,W.P. Kuala Lumpur,569.6,555.8
1992,UPSR/UPSRA or equivalent,W.P. Kuala Lumpur,-,-
1992,PT3/PMR/SRP/LCE/SRA or equivalent,W.P. Kuala Lumpur,117.4,113.3
1992,SPM or equivalent,W.P. Kuala Lumpur,201.4,195.9
1992,STPM or equivalent,W.P. Kuala Lumpur,32.9,32.3
1992,Certificate,W.P. Kuala Lumpur,-,-
1992,Diploma,W.P. Kuala Lumpur,26,25.5
1992,Degree,W.P. Kuala Lumpur,37.3,36.7
1992,Religious certificate,W.P. Kuala Lumpur,-,-
1992,No certificate,W.P. Kuala Lumpur,139.6,137.5
1992,Not applicable,W.P. Kuala Lumpur,14.9,14.7
1992,Total,W.P. Labuan,15.4,14.9
1992,UPSR/UPSRA or equivalent,W.P. Labuan,-, -
1992,PT3/PMR/SRP/LCE/SRA or equivalent,W.P. Labuan,2.3,2.3
1992,SPM or equivalent,W.P. Labuan,2.7,2.7
1992,STPM or equivalent,W.P. Labuan,0.1,0.1
1992,Certificate,W.P. Labuan,-, -
1992,Diploma,W.P. Labuan,0.3,0.3
1992,Degree,W.P. Labuan,0.3,0.3
1992,Religious certificate,W.P. Labuan,-, -
1992,No certificate,W.P. Labuan,8.8,8.4
1992,Not applicable,W.P. Labuan,0.9,0.9
1993,Total,Malaysia,"7,700.10","7,383.40"
1993,UPSR/UPSRA or equivalent,Malaysia,-,-
1993,PT3/PMR/SRP/LCE/SRA or equivalent,Malaysia,963.2,904.6
1993,SPM or equivalent,Malaysia,"1,842.40","1,757.00"
1993,STPM or equivalent,Malaysia,240.6,228
1993,Certificate,Malaysia,-,-
1993,Diploma,Malaysia,248.2,244.1
1993,Degree,Malaysia,232.3,227
1993,Religious certificate,Malaysia,-,-
1993,No certificate,Malaysia,"3,546.80","3,407.00"
1993,Not applicable,Malaysia,626.5,615.6
1993,Total,Johor,"1,003.00",974.3
1993,UPSR/UPSRA or equivalent,Johor,-,-
1993,PT3/PMR/SRP/LCE/SRA or equivalent,Johor,97.7,92.9
1993,SPM or equivalent,Johor,226.1,220.5
1993,STPM or equivalent,Johor,29.3,28.3
1993,Certificate,Johor,-,-
1993,Diploma,Johor,31.3,31
1993,Degree,Johor,22.3,21.6
1993,Religious certificate,Johor,-,-
1993,No certificate,Johor,552.4,536.7
1993,Not applicable,Johor,44,43.3
1993,Total,Kedah,492.8,475.1
1993,UPSR/UPSRA or equivalent,Kedah,-,-
1993,PT3/PMR/SRP/LCE/SRA or equivalent,Kedah,52.7,49.7
1993,SPM or equivalent,Kedah,93.1,87
1993,STPM or equivalent,Kedah,10.3,8.2
1993,Certificate,Kedah,-,-
1993,Diploma,Kedah,13.5,13.5
1993,Degree,Kedah,10.5,10.5
1993,Religious certificate,Kedah,-,-
1993,No certificate,Kedah,269,263.6
1993,Not applicable,Kedah,43.7,42.5
1993,Total,Kelantan,413.7,394.4
